cnpj_prestador;nome_prestador;cnpj_tomador;nome_tomador;numero_nota;mes_comp;ano_comp;data_nota;competencia_nota;valor_total;base_calculo;aliquota;imposto;local_servico;situacao;responsavel_imp;atividade;descricao_servico;observacao
1810342000130;PIKACHU ENGENHARIA LTDA;13920200000104;AMBROSIO S/A;1;5;2015;15/05/2015;15/05/2015;394630,62;394630,62;2;7892,61;D;ISS ESTIMADO;Tomador;C2-7112000;ENGENHARIA,  AGRONOMIA,  AGRIMENSURA, ARQUITETURA,  GEOLOGIA,  URBANISMO,  PAISAGISMO  E CONGÊNERES.;"SERVI&Ccedil;OS DE ACOMPANHAMENTO E FISCALIZA&Ccedil;&Atilde;O DA EXECU&Ccedil;&Atilde;O DE OBRAS DE ENGENHARIA PARA IMPLANTA&Ccedil;&Atilde;O DA CASA DE FOR&Ccedil;A (CF) DA IMPLEMENTA&Ccedil;&Atilde;O DE EMPREENDIMENTOS DE UTILIDADES (IEUT) DA AMBROSIO S/A, EM WESTEROS., E NBS N&ordm; 1.1805.40.00, CONFORME CONTRATO ASSINADO N&ordm; 0110.0091706.14.2. R/3 4600444312. RM16. NL 9071435. PER&Iacute;ODO DE MEDI&Ccedil;&Atilde;O 26.03.2014 A 25.04.2015.<br />
Isento de ISS, conforme a Lei n&ordm; 33/01, Art. 2&ordm;, inciso I, al&iacute;nea &quot;e&quot;, regulamentada pelo Decreto 08/2010. Protocolo n&ordm; 10529, de 30/07/2014.<br />
<br type=""_moz"" />"
1810342000130;PIKACHU ENGENHARIA LTDA;13920200000104;AMBROSIO S/A;2;5;2015;15/05/2015;15/05/2015;79030,88;79030,88;2;1580,62;D;ISS ESTIMADO;Tomador;C2-7112000;DATILOGRAFIA, DIGITAÇÃO, ESTENOGRAFIA, EXPEDIENTE, SECRETARIA EM GERAL, RESPOSTA AUDÍVEL, REDAÇÃO, EDIÇÃO, INTERPRETAÇÃO, REVISÃO, TRADUÇÃO, APOIO E INFRA-ESTRUTURA ADMINISTRATIVA E CONGÊNERES.;"SERVI&Ccedil;OS DE ACOMPANHAMENTO E FISCALIZA&Ccedil;&Atilde;O DA EXECU&Ccedil;&Atilde;O DE OBRAS DE ENGENHARIA PARA IMPLANTA&Ccedil;&Atilde;O DA CASA DE FOR&Ccedil;A (CF) DA IMPLEMENTA&Ccedil;&Atilde;O DE EMPREENDIMENTOS DE UTILIDADES (IEUT) DA AMBROSIO S/A, EM WESTEROS., E NBS N&ordm; 1.1805.40.00, CONFORME CONTRATO ASSINADO N&ordm; 0110.0091706.14.2. R/3 4600444312. RM 17. NL 9071436. PER&Iacute;ODO DE MEDI&Ccedil;&Atilde;O 26.03.2014 A 25.04.2015.<br />
Isento de ISS, conforme a Lei n&ordm; 33/01, Art. 2&ordm;, inciso I, al&iacute;nea &quot;e&quot;, regulamentada pelo Decreto 08/2010. Protocolo n&ordm; 10529, de 30/07/2014."
1810342000130;PIKACHU ENGENHARIA LTDA;13920200000104;AMBROSIO S/A;3;5;2015;18/05/2015;18/05/2015;147344,28;147344,28;2;2946,89;D;ISS ESTIMADO;Tomador;C2-7112000;DATILOGRAFIA, DIGITAÇÃO, ESTENOGRAFIA, EXPEDIENTE, SECRETARIA EM GERAL, RESPOSTA AUDÍVEL, REDAÇÃO, EDIÇÃO, INTERPRETAÇÃO, REVISÃO, TRADUÇÃO, APOIO E INFRA-ESTRUTURA ADMINISTRATIVA E CONGÊNERES.;"<span style=""text-align: justify;"">EXECU&Ccedil;&Atilde;O DE SERVI&Ccedil;OS ESPECIALIZADOS DE ACOMPANHAMENTO DE REQUISITOS CONTRATUAIS E LEGAIS, NOS CONTRATOS GERENCIADOS E FISCALIZADOS PELA ENG-AB/AMBRSO, PARA IMPLEMENTA&Ccedil;&Atilde;O DA AMBROSIO S/A, SITUADA NO MUNIC&Iacute;PIO DE WESTEROS E NBS 1.1805.40.00, CONFORME CONTRATO ASSINADO N&ordm; 0110.0094535.14.2 E R/3 4600470777. RM 04. NL 9049402. PER&Iacute;ODO DE MEDI&Ccedil;&Atilde;O DE 26.03.2015</span><span style=""text-align: justify;"">&nbsp; </span><span style=""text-align: justify;"">A 25.04.2015.<br />
REDU&Ccedil;&Atilde;O DA AL&Iacute;QUOTA DA ISSQN PARA 2%, CONFORME A LEI N&ordm; 33/01, ART 2&ordm;, INCISO I, AL&Iacute;NEA &quot;E&quot;, REGULAMENTADA PELO DECRETO 08/2010. PROTOCOLO N&ordm; 2285/2015, DE 30/01/2015.<br />
<br type=""_moz"" />
</span>"
1810342000130;PIKACHU ENGENHARIA LTDA;13920200000104;AMBROSIO S/A;4;5;2015;18/05/2015;18/05/2015;500719,62;500719,62;2;10014,39;D;ISS ESTIMADO;Tomador;C2-7112000;ENGENHARIA,  AGRONOMIA,  AGRIMENSURA, ARQUITETURA,  GEOLOGIA,  URBANISMO,  PAISAGISMO  E CONGÊNERES.;"SERVI&Ccedil;O DE ACOMPANHAMENTO E APOIO &Agrave; FISCALIZA&Ccedil;&Atilde;O DA EXECU&Ccedil;&Atilde;O DE OBRAS DE ENGENHARIA PARA IMPLEMENTA&Ccedil;&Atilde;O DE EMPREENDIMENTOS DE UNIDADES DE HDT (IEHDT) PARA A CONSTRU&Ccedil;&Atilde;O E MONTAGEM DAS UNIDADES DE HDT E UGH DA AMBROSIO S/A. CONFORME CONTRATO ASSINADO N&ordm; 0110.0095227.15.2 &ndash; R/3 4600475772. RM 05. NF 9048917. PER&Iacute;ODO DE MEDI&Ccedil;&Atilde;O DE 26.03.2015 A 25.04.2015.<br />
<span style=""font-family: Arial, sans-serif; font-size: 9pt; line-height: 115%;"">REDU&Ccedil;&Atilde;O DA AL&Iacute;QUOTA DA ISSQN PARA 2%, CONFORME A LEI N&ordm; 33/01, ART 2&ordm;, INCISO I, AL&Iacute;NEA &quot;E&quot;, REGULAMENTADA PELO DECRETO 08/2010. PROTOCOLO N&ordm; 4906/2015, DE 12/03//2015.</span>"
1810342000130;PIKACHU ENGENHARIA LTDA;13920200000104;AMBROSIO S/A;5;5;2015;18/05/2015;18/05/2015;91255,27;91255,27;2;1825,11;D;ISS ESTIMADO;Tomador;C2-7112000;DATILOGRAFIA, DIGITAÇÃO, ESTENOGRAFIA, EXPEDIENTE, SECRETARIA EM GERAL, RESPOSTA AUDÍVEL, REDAÇÃO, EDIÇÃO, INTERPRETAÇÃO, REVISÃO, TRADUÇÃO, APOIO E INFRA-ESTRUTURA ADMINISTRATIVA E CONGÊNERES.;"SERVI&Ccedil;O DE ACOMPANHAMENTO E APOIO &Agrave; FISCALIZA&Ccedil;&Atilde;O DA EXECU&Ccedil;&Atilde;O DE OBRAS DE ENGENHARIA PARA IMPLEMENTA&Ccedil;&Atilde;O DE EMPREENDIMENTOS DE UNIDADES DE HDT (IEHDT) PARA A CONSTRU&Ccedil;&Atilde;O E MONTAGEM DAS UNIDADES DE HDT E UGH DA AMBROSIO S/A. CONFORME CONTRATO ASSINADO N&ordm; 0110.0095227.15.2 &ndash; R/3 4600475772. RM 06. NF 9048918. PER&Iacute;ODO DE MEDI&Ccedil;&Atilde;O DE 26.03.2015 A 25.04.2015.<br />
<span style=""font-family: Arial, sans-serif; font-size: 9pt; line-height: 115%;"">REDU&Ccedil;&Atilde;O DA AL&Iacute;QUOTA DA ISSQN PARA 2%, CONFORME A LEI N&ordm; 33/01, ART 2&ordm;, INCISO I, AL&Iacute;NEA &quot;E&quot;, REGULAMENTADA PELO DECRETO 08/2010. PROTOCOLO N&ordm; 4906/2015, DE 12/03//2015.</span>"
1810342000130;PIKACHU ENGENHARIA LTDA;13920200000104;AMBROSIO S/A;6;6;2015;02/06/2015;02/06/2015;394028,21;394028,21;2;7880,56;D;ISS ESTIMADO;Tomador;C2-7112000;ENGENHARIA,  AGRONOMIA,  AGRIMENSURA, ARQUITETURA,  GEOLOGIA,  URBANISMO,  PAISAGISMO  E CONGÊNERES.;"SERVI&Ccedil;OS DE ACOMPANHAMENTO E FISCALIZA&Ccedil;&Atilde;O DA EXECU&Ccedil;&Atilde;O DE OBRAS DE ENGENHARIA PARA IMPLANTA&Ccedil;&Atilde;O DA CASA DE FOR&Ccedil;A (CF) DA IMPLEMENTA&Ccedil;&Atilde;O DE EMPREENDIMENTOS DE UTILIDADES (IEUT) DA AMBROSIO S/A, EM WESTEROS. E NBS 1.1805.40.00, CONFORME CONTRATO ASSINADO N&ordm; 0110.0091706.14.2. R/3 4600444312. RM 18. NL 9151463. PER&Iacute;ODO DE MEDI&Ccedil;&Atilde;O DE 26.04.2015 A 25.05.2015.<br />
Isento de ISS, conforme lei n&ordm; 33/01, art. 2&ordm;, inciso I, al&iacute;nea &quot;e&quot;, regulamentada pelo Decreto 08/2010. Protocolo n&ordm; 10529, de 30/07/2014."
1810342000130;PIKACHU ENGENHARIA LTDA;13920200000104;AMBROSIO S/A;7;6;2015;02/06/2015;02/06/2015;64344,5;64344,5;2;1286,89;D;ISS ESTIMADO;Tomador;C2-7112000;DATILOGRAFIA, DIGITAÇÃO, ESTENOGRAFIA, EXPEDIENTE, SECRETARIA EM GERAL, RESPOSTA AUDÍVEL, REDAÇÃO, EDIÇÃO, INTERPRETAÇÃO, REVISÃO, TRADUÇÃO, APOIO E INFRA-ESTRUTURA ADMINISTRATIVA E CONGÊNERES.;"<div style=""text-align: justify; margin: 0cm 0cm 10pt""><span style=""font-size: 9pt; line-height: 115%"">SERVI&Ccedil;OS DE ACOMPANHAMENTO E FISCALIZA&Ccedil;&Atilde;O DA EXECU&Ccedil;&Atilde;O DE OBRAS DE ENGENHARIA PARA IMPLANTA&Ccedil;&Atilde;O DA CASA DE FOR&Ccedil;A (CF) DA IMPLEMENTA&Ccedil;&Atilde;O DE EMPREENDIMENTOS DE UTILIDADES (IEUT) DA AMBROSIO S/A, EM WESTEROS. E NBS 1.1805.40.00, CONFORME CONTRATO ASSINADO N&ordm; 0110.0091706.14.2. R/3 4600444312. RM 19. NL 9151464. PER&Iacute;ODO DE MEDI&Ccedil;&Atilde;O DE 26.04.2015 A 25.05.2015.<br />
Isento de ISS, conforme lei n&ordm; 33/01, art. 2&ordm;, inciso I, al&iacute;nea &quot;e&quot;, regulamentada pelo Decreto 08/2010. Protocolo n&ordm; 10529, de 30/07/2014.</span></div>"
1810342000130;PIKACHU ENGENHARIA LTDA;13920200000104;AMBROSIO S/A;8;6;2015;03/06/2015;03/06/2015;509799,16;509799,16;2;10195,98;D;ISS ESTIMADO;Tomador;C2-7112000;ENGENHARIA,  AGRONOMIA,  AGRIMENSURA, ARQUITETURA,  GEOLOGIA,  URBANISMO,  PAISAGISMO  E CONGÊNERES.;"&nbsp;<span style=""text-align: justify;"">SERVI&Ccedil;O DE ACOMPANHAMENTO E APOIO &Agrave; FISCALIZA&Ccedil;&Atilde;O DA EXECU&Ccedil;&Atilde;O DE OBRAS DE ENGENHARIA PARA IMPLEMENTA&Ccedil;&Atilde;O DE EMPREENDIMENTOS DE UNIDADES DE HDT (IEHDT) PARA A CONSTRU&Ccedil;&Atilde;O DESMOBILIZACAO E MONTAGEM DAS UNIDADES DE HDT E UGH DA AMBROSIO S/A. CONFORME CONTRATO ASSINADO N&ordm; 0110.0095227.15.2 &ndash; R/3 4600475772. RM 07. NL 9156947. PER&Iacute;ODO DE MEDI&Ccedil;&Atilde;O DE 26.04.2015 A 25.05.2015.</span>
<p class=""MsoNormal"" style=""text-align:justify""><span style=""font-size: 9pt; line-height: 115%; font-family: Arial, sans-serif; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">REDU&Ccedil;&Atilde;O DA AL&Iacute;QUOTA DA ISSQN PARA 2%, CONFORME A LEI N&ordm; 33/01, ART 2&ordm;, INCISO I, AL&Iacute;NEA &quot;E&quot;, REGULAMENTADA PELO DECRETO 08/2010. PROTOCOLO N&ordm; 4906/2015, DE 12/03//2015.</span></p>"
1810342000130;PIKACHU ENGENHARIA LTDA;13920200000104;AMBROSIO S/A;9;6;2015;03/06/2015;03/06/2015;91295,42;91295,42;2;1825,91;D;ISS ESTIMADO;Tomador;C2-7112000;DATILOGRAFIA, DIGITAÇÃO, ESTENOGRAFIA, EXPEDIENTE, SECRETARIA EM GERAL, RESPOSTA AUDÍVEL, REDAÇÃO, EDIÇÃO, INTERPRETAÇÃO, REVISÃO, TRADUÇÃO, APOIO E INFRA-ESTRUTURA ADMINISTRATIVA E CONGÊNERES.;"&nbsp;<span style=""text-align: justify;"">SERVI&Ccedil;O DE ACOMPANHAMENTO E APOIO &Agrave; FISCALIZA&Ccedil;&Atilde;O DA EXECU&Ccedil;&Atilde;O DE OBRAS DE ENGENHARIA PARA IMPLEMENTA&Ccedil;&Atilde;O DE EMPREENDIMENTOS DE UNIDADES DE HDT (IEHDT) PARA A CONSTRU&Ccedil;&Atilde;O E MONTAGEM DAS UNIDADES DE HDT E UGH DA AMBROSIO S/A. CONFORME CONTRATO ASSINADO N&ordm; 0110.0095227.15.2 &ndash; R/3 4600475772. RM 08. NL 9159681. PER&Iacute;ODO DE MEDI&Ccedil;&Atilde;O DE 26.04.2015 A 25.05.2015.</span>
<p class=""MsoNormal"" style=""text-align:justify""><span style=""font-size: 9pt; line-height: 115%; font-family: Arial, sans-serif; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">REDU&Ccedil;&Atilde;O DA AL&Iacute;QUOTA DA ISSQN PARA 2%, CONFORME A LEI N&ordm; 33/01, ART 2&ordm;, INCISO I, AL&Iacute;NEA &quot;E&quot;, REGULAMENTADA PELO DECRETO 08/2010. PROTOCOLO N&ordm; 4906/2015, DE 12/03//2015.</span></p>"
1810342000130;PIKACHU ENGENHARIA LTDA;13920200000104;AMBROSIO S/A;10;6;2015;09/06/2015;09/06/2015;129977,93;129977,93;2;2599,56;D;ISS ESTIMADO;Tomador;C2-7112000;DATILOGRAFIA, DIGITAÇÃO, ESTENOGRAFIA, EXPEDIENTE, SECRETARIA EM GERAL, RESPOSTA AUDÍVEL, REDAÇÃO, EDIÇÃO, INTERPRETAÇÃO, REVISÃO, TRADUÇÃO, APOIO E INFRA-ESTRUTURA ADMINISTRATIVA E CONGÊNERES.;"&nbsp;<span style=""text-align: justify;"">EXECU&Ccedil;&Atilde;O DE SERVI&Ccedil;OS ESPECIALIZADOS DE ACOMPANHAMENTO DE REQUISITOS CONTRATUAIS E LEGAIS, NOS CONTRATOS GERENCIADOS E FISCALIZADOS PELA ENG-AB/AMBRSO, PARA IMPLEMENTA&Ccedil;&Atilde;O DA AMBROSIO S/A, SITUADA NO MUNIC&Iacute;PIO DE WESTEROS E NBS 1.1805.40.00, CONFORME CONTRATO ASSINADO N&ordm; 0110.0094535.14.2 E R/3 4600470777. RM 05. NL 9134583. PER&Iacute;ODO DE MEDI&Ccedil;&Atilde;O DE 26.04.2015</span><span style=""text-align: justify;"">&nbsp; </span><span style=""text-align: justify;"">A 25.05.2015.</span>
<p class=""MsoNormal"" style=""text-align:justify""><span style=""font-size: 9pt; line-height: 115%; font-family: Arial, sans-serif; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">REDU&Ccedil;&Atilde;O DA AL&Iacute;QUOTA DA ISSQN PARA 2%, CONFORME A LEI N&ordm; 33/01, ART 2&ordm;, INCISO I, AL&Iacute;NEA &quot;E&quot;, REGULAMENTADA PELO DECRETO 08/2010. PROTOCOLO N&ordm; 2285/2015, DE 30/01/2015.</span></p>"
